Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Ishan Kishan,2,2,0,105,89,52.50,71,147.88,0,1,0,12,3
SV Samson,3,2,0,57,39,28.50,37,154.05,0,0,0,5,3
DJ Hooda,3,1,0,21,21,21.00,16,131.25,0,0,0,1,1
RG Sharma,3,3,0,50,44,16.66,43,116.27,0,0,0,3,1
VR Iyer,3,1,0,5,5,5.00,4,125.00,0,0,0,1,0
SS Iyer,3,3,3,204,74*,-,117,174.35,0,3,0,20,7
RA Jadeja,3,3,3,70,45*,-,37,189.18,0,0,0,10,1
Avesh Khan,1,-,-,-,-,-,-,-,-,-,-,-,-
JJ Bumrah,2,-,-,-,-,-,-,-,-,-,-,-,-
YS Chahal,2,-,-,-,-,-,-,-,-,-,-,-,-
Kuldeep Yadav,1,-,-,-,-,-,-,-,-,-,-,-,-
B Kumar,2,-,-,-,-,-,-,-,-,-,-,-,-
Mohammed Siraj,1,-,-,-,-,-,-,-,-,-,-,-,-
HV Patel,3,-,-,-,-,-,-,-,-,-,-,-,-
Ravi Bishnoi,1,-,-,-,-,-,-,-,-,-,-,-,-
